temp_candidates,left5,left4,left3,left2,left1,right1,right2,right3,right4,right5,category,sub_category,wtl1,wtr1,wttc,word_length,beginning_or_not
santa clara,bvs,;,abbott,vascular,",",",",ca,",",usa,),T,T,",",",",NN,11,0
marlborough,system,(,boston,scientific,",",",",ma,",",usa,),T,T,",",",",NN,11,0
cincinnati,new,york,city,",",greater,",",ohio,and,the,bay,T,T,JJR,",",NN,10,0
irvine,24,university,of,california,",",",",(,uci,),datasets,T,T,",",",",NN,6,0
irvine,sets,from,university,of,california-,machine,learning,repository,",",a,T,T,NN,NN,NN,6,0
lima,carolina,g,.,s,.,et,al,.,",",chem,T,T,.,NN,NN,4,0
eddy,modelling,using,a,time-resolved,large,simulation,(,les,),method,F,M,JJ,NN,NN,4,0
many,^,^,^,^,^,legume,species,",",including,phaseolus,F,G,NN,NN,JJ,4,1
kyoto,",",go,term,enrichment,and,encyclopedia,of,genes,and,genomes,F,M,CC,NN,NN,5,0
shenzhen,practical,screening,assay,for,ten,china,common,pneumococcal,serotypes/serogroups,in,T,T,NNS,NN,NN,8,0
irvine,",",an,allergan,company,",",",",ca,),is,a,T,T,",",",",NN,6,0
oxford,medline,",",embase,",",the,pain,relief,database,",",two,F,D,DT,NN,NN,6,0
maputo,observational,study,was,conducted,in,",",mozambique,",",to,investigate,T,T,IN,",",NN,6,0
wa,demand,in,western,australia,(,),and,compare,them,to,T,T,(,),NN,2,0
atlanta,in,the,northwestern,section,of,",",georgia,alongside,other,industries,T,T,IN,",",NN,7,0
quebec,areas,of,northeastern,canada,(,),.,$,$,$,T,T,(,),NN,6,0
quebec,boreal,and,subarctic,zone,of,(,northeastern,canada,),is,T,T,IN,(,NN,6,0
hamilton,(,sidi-f,),",",and,depression,scale,(,hds,),T,T,CC,NN,NN,8,0
banff,of,rejection,(,all,acute,scores,=,0,),",",F,M,NN,NNS,NN,5,0
santa barbara,conversion,catalysis,project,with,uc,funded,by,the,first,nsf,F,M,NN,VBN,NN,13,0
cold spring harbor,albert,kelner,while,at,the,laboratories,in,upstate,new,york,T,T,DT,NNS,JJ,18,0
newham,of,16,",",who,attended,university,hospital,accident,and,emergency,T,T,VBD,NN,NN,6,0
philadelphia,a,2-day,consensus,conference,in,",",pennsylvania,.,$,$,T,T,IN,",",NN,12,0
canadian,for,patients,treated,in,a,provincial,trauma,system,(,2005-2010,T,T,DT,NN,NN,8,0
glasgow,after,experiencing,an,stbi,(,coma,scale,score,<=8,and,F,S,(,NN,NN,7,0
natick,",",mathworks,inc,.,",",",",ma,),.,$,F,M,",",",",NN,6,0
glasgow,mri,and,presented,with,a,coma,scale,score,of,8,T,T,DT,NN,NN,7,0
glasgow,ct,and,mri,and,met,coma,scale,criteria,.,$,F,M,NN,NN,NN,7,0
glasgow,alert,blunt,trauma,patients,with,coma,scale,(,gcs,),F,M,IN,NN,NN,7,0
conover,by,the,kruskal-wallis,test,",",-inman,post,hoc,analysis,for,F,M,",",NN,NN,7,0
martina franca,grigio,siciliano,",",ragusano,and,),.,$,$,$,F,B,CC,),NNS,14,0
koganei,of,the,genomes,of,the,65-0,.,15,vaccine,strain,F,B,DT,JJ,NN,7,0
same,^,^,^,^,^,trends,were,observed,for,child,F,G,NN,NNS,JJ,4,1
new york,simulate,violence,and,ptsd,in,city,under,four,scenarios:,(,T,T,IN,NN,JJ,8,0
nantong,2,diabetic,retinopathy,patients,in,china,and,to,identify,factors,T,T,IN,NN,RB,7,0
nantong,retinopathy,population,is,higher,in,china,.,$,$,$,T,T,IN,NN,RB,7,0
nantong,2,diabetic,retinopathy,population,from,.,$,$,$,$,T,T,IN,.,RB,7,0
damxung,^,^,^,^,(,",",dx,and,zhengdao,",",T,T,(,",",NN,7,0
spring,and,the,crg,prior,to,2011,and,likely,masked,trans-pacific,F,G,TO,CD,NN,6,0
canadian,participaction,campaign,was,to,inspire,adults,to,increase,their,physical,F,G,NN,NNS,NN,8,0
bosomtwe,management,of,malaria,in,the,and,sekyere,east,districts,of,T,T,DT,CC,NN,8,0
aurora,cytokinesis,and,suggests,function,in,b,kinase-mediated,cytokinesis,checkpoint,.,F,B,IN,NN,NNS,6,0
baltimore,5,),composition,for,the,",",maryland,metropolitan,area,",",T,T,DT,",",NN,9,0
baltimore,a,major,industrial,source,in,shut,down,.,$,$,T,T,IN,NN,NN,9,0
baltimore,^,^,results,obtained,from,were,compared,to,those,from,T,T,IN,VBD,NN,9,0
auckland,measured,over,44,days,in,",",new,zealand,at,high,T,T,IN,",",NN,8,0
act,^,^,^,^,^,model,was,designed,to,include,F,G,NN,NN,NN,3,1
act,and,wellness,of,individuals,receiving,services,.,$,$,$,F,G,VBG,NNS,NN,3,0
magnolia,^,^,^,^,^,was,fermented,by,pediococcus,acidilactici,F,B,NN,VBD,NNS,8,1
brisbane,environmental,water,samples,collected,in,",",of,which,7%,and,T,T,IN,",",NN,8,0
daegu,who,underwent,colonoscopies,at,the,catholic,university,medical,center,from,T,T,DT,NN,NN,5,0
aberdeen,3000,randomly,selected,citizens,of,city,and,shire,",",scotland,T,T,IN,NN,NN,8,0
aberdeen,primary,health,care,clinic,in,suggests,that,this,canadian,model,T,T,IN,NNS,NN,8,0
balochistan,anc,),utilization,in,rural,",",toward,framing,a,policy,T,T,JJ,",",NN,11,0
lyon,20c,aux,;,biomerieux,",",",",france,),.,$,T,T,",",",",NN,4,0
karachi,stenosis,admitted,in,civil,hospital,.,it,was,a,two,T,T,NN,.,NNS,7,0
karachi,thalassemia,clinic,in,civil,hospital,.,this,prospective,study,was,T,T,NN,.,NNS,7,0
lahore,a,tertiary,care,hospital,in,and,ascertain,its,co-relation,with,T,T,IN,CC,NN,6,0
kayseri,",",faculty,of,medicine,(,",",turkey,),and,then,T,T,(,",",NN,7,0
kayseri,center,of,erciyes,university,and,education,and,research,hospital,in,F,B,CC,NN,NN,7,0
gland,were,similar,regarding,the,meibomian,dysfunction,(,mgd,),and,T,T,NN,NN,NN,5,0
malatya,primary,care,health,workers,in,in,turkey,.,the,sample,T,T,IN,IN,NN,7,0
tigre,^,^,from,galeon,",",",",and,kilopondio,cultivars,successfully,T,T,",",",",NN,5,0
tigre,^,^,^,^,",",ovaries,raised,the,percentage,of,T,T,",",NNS,NN,5,0
mccleary,as,in,spoken,interaction,(,and,leite,",",2013,),F,M,(,CC,NN,8,0
toronto,^,healthy,individuals,completed,the,alexithymia,scale,and,underwent,the,T,T,DT,NN,NN,7,0
jeddah,",",which,were,collected,from,region,",",saudi,arabia,for,F,B,IN,NN,NN,6,0
shiga,^,^,^,^,^,toxin-producing,escherichia,coli,(,stec,T,T,NN,NN,NN,5,1
riyadh,and,milk,samples,collected,from,",",saudi,arabia,.,$,T,T,IN,",",NN,6,0
riyadh,from,different,abattoirs,located,in,",",saudi,arabia,.,$,F,B,IN,",",NN,6,0
shiga,^,^,^,^,^,toxin2,was,detected,in,58,T,T,NN,NN,NN,5,1
hamadan,of,3,educational,hospitals,of,city,",",iran,in,2011,T,T,IN,NN,NN,7,0
hamadan,and,subsequent,drug,resistance,in,area,",",iran,.,$,T,T,IN,NN,NN,7,0
bologna,conforms,to,the,current,european,system,of,academic,training,.,F,M,JJ,NN,NN,7,0
chiba,we,enrolled,200,outpatients,at,university,hospital,.,$,$,T,T,IN,NN,NN,5,0
stanford,^,effusion,may,complicate,acute,type,b,aortic,dissection,(,F,B,NN,NN,NN,8,0
yamaguchi,facility,",",she,fulfilled,the,criteria,for,aosd,and,had,F,S,DT,NNS,NNS,9,0
dallas,cancer,incidence,in,the,multiethnic,heart,study,(,dhs,),F,S,NN,NN,NNS,6,0
valencia,insulin,",",mannkind,corporation,",",",",ca,),is,a,T,T,",",",",NN,8,0
ube,monoub,),by,the,e2,2w,.,$,$,$,F,B,NN,CD,NN,3,0
ube,substrate,for,the,heterodimeric,e2,2n/ube2v2,",",resulting,in,trim21-anchored,F,B,NN,CD,NN,3,0
framingham,compared,with,variables,in,the,secondary,events,model,",",the,F,M,DT,JJ,NN,10,0
cocoa,^,^,^,^,^,pulp,fermentation,is,a,spontaneous,F,F,NN,NN,NN,5,1
tampere,who,had,been,treated,in,university,hospital,",",finland,",",T,T,IN,NN,RB,7,0
worcester,conducted,for,this,population,in,",",ma,.,$,$,T,T,IN,",",NN,9,0
edinburgh,self-reported,depressive,symptoms,using,the,postnatal,depression,scale,.,$,F,S,DT,NN,NN,9,0
docking,^,^,^,^,^,analysis,confirmed,that,cardamonin,molecule,F,M,NN,NN,VBG,7,1
hefei,biotechnology,and,food,engineering,",",university,of,technology,",",hefei,T,T,",",NN,NN,5,0
on,the,recent,and,growing,promoti,of,local,foods,by,public,T,T,NN,IN,IN,2,0
shanghai,huangpu,or,yangtze,river,in,",",were,investigated,",",and,T,T,IN,",",NN,8,0
ramnicu valcea,industrial,platform,in,romania,(,industrial,area,),was,characterized,T,T,(,JJ,NN,14,0
ionesti,for,olt,river,",",at,site,",",in,november,2012,T,T,IN,NN,NN,7,0
honghu,),was,studied,in,the,lake,and,east,dongting,lake,T,T,DT,NN,NN,6,0
honghu,-1,),dw,),of,lake,were,significantly,higher,than,T,T,IN,NN,NN,6,0
lake,edcs,in,outlet,of,honghu,were,comparable,to,those,in,F,G,NN,VBD,NN,4,0
honghu,^,^,^,edcs,in,lake,and,east,dongting,lake,T,T,IN,NN,NN,6,0
buffalo,carried,out,on,75,adult,rats,subjected,to,running,exercise,F,A,NN,NNS,NN,7,0
nsw,was,greatly,improved,by,adding,.,$,$,$,$,F,M,VBG,.,NN,3,0
nsw,in,treatment,with,24g/l,of,was,1,.,74-1,.,F,M,IN,VBD,NN,3,0
nsw,conventional,treatment,system,without,added,",",the,iron,oxyhydroxysulfate,minerals,F,M,VBD,",",NN,3,0
nsw,^,^,^,^,from,",",jarosite,and,schwertmannite,were,F,M,IN,",",NN,3,0
abisko,in,a,bryophyte-dominated,peatland,in,",",sweden,.,$,$,T,T,IN,",",NN,6,0
abisko,^,^,^,^,the,peatland,having,greater,ecosystem,respiration,T,T,DT,NN,NN,6,0
mirebalais,charge,at,hopital,universitaire,de,(,hum,),in,haiti,T,T,NNS,(,NN,10,0
dourados,located,in,the,municipality,of,",",in,the,state,of,T,T,IN,",",NN,8,0
stains,of,sds,using,the,dye,-all,is,known,.,$,F,G,NN,NN,NNS,6,0
bologna,to,august,2013,within,the,local,health,authority,(,870,T,T,DT,JJ,NN,7,0
newcastle,^,^,^,used,the,-ottawa,scale,to,assess,the,F,S,DT,NN,NN,9,0
natick,patch,",",boston,scientific,",",",",ma,",",usa,),T,T,",",",",NN,6,0
siena,ectasia,underwent,cxl,following,the,protocol,.,$,$,$,F,M,DT,NN,NN,5,0
harbin,river,in,the,city,of,",",china,.,$,$,T,T,IN,",",NN,6,0
wellington,department,(,ed,),of,hospital,and,hutt,hospital,",",T,T,IN,NN,NN,10,0
wellington,of,the,patients,presenting,to,hospital,ed,with,a,seizure,T,T,TO,NN,NN,10,0
wellington,was,63,.,1%,for,hospital,and,9,.,8%,T,T,IN,NN,NN,10,0
wellington,adult,seizure,patients,across,the,region,",",for,patients,with,T,T,DT,NN,NN,10,0
taranaki,of,its,use,of,in,",",along,with,attempting,to,T,T,IN,",",NN,8,0
odisha,origin,in,24,villages,in,",",india,.,$,$,T,T,IN,",",NN,6,0
khabarovsk,anopheles,species,in,primorsk,and,regions,of,russia,.,$,T,T,CC,NNS,NN,10,0
shuyang,extended,family,were,reported,at,county,",",jiangsu,province,",",T,T,IN,NN,NN,7,0
dhaka,of,the,icddr,",",b,hospital,to,identify,children&lt,;,T,T,NN,NN,NN,5,0
bagamoyo,the,hands,of,mothers,in,",",tanzania,",",during,the,T,T,IN,",",NN,8,0
savannakhet,229,patients,without,malaria,in,province,",",southern,laos,;,T,T,IN,NN,NN,11,0
wuhan,",",lake,moshui,",",in,",",china,",",to,examine,T,T,IN,",",NN,5,0
basin,the,aridity,in,the,mediterranean,and,severely,affect,forest,productivity,F,G,NN,CC,NN,5,0
rize,),;,steinernema,carpocapsae,(,isolate,),was,used,in,F,B,(,NN,VB,4,0
littoral,palmiers,health,district,in,the,region,of,cameroon,.,$,T,T,DT,NN,JJ,8,0
oslo,questionnaire,on,health,",",the,health,study,",",which,was,F,S,DT,NN,NN,4,0
ube,the,interaction,between,fancl,and,2t,",",and,is,not,F,B,CC,CD,NN,3,0
brooklyn,networks,at,temple,university,and,college,at,cuny,(,the,T,T,CC,NN,NN,8,0
hirosaki,but,extensive,tur,protocol,at,university,hospital,between,january,2005,T,T,IN,NN,NN,8,0
zhuhai,cross-sectional,study,was,conducted,in,city,june-october,2012,.,$,T,T,IN,NN,NN,6,0
canadian,the,perspectives,of,graduates,of,core,fellowship,programs,in,pediatric,F,G,IN,NN,NN,8,0
phnom penh,on,a,5-year-old,girl,in,",",cambodia,.,$,$,T,T,IN,",",NN,10,0
mwanza,onto,whatman,903,cards,in,",",tanzania,",",and,the,T,T,IN,",",NN,6,0
pittsburgh,schizoaffective,disorder,were,identified,in,",",usa,.,$,$,T,T,IN,",",NN,10,0
paris,^,^,^,^,the,colloquium,held,forty,years,ago,F,C,DT,NN,NN,5,0
madrid,",",which,was,held,in,the,following,year,.,$,T,T,IN,DT,NN,6,0
rochester,.,lqts,patients,from,the,-based,lqts,registry,(,open-enrollment,F,D,DT,VBN,NN,9,0
framingham,blood,lipid,metabolism,markers,and,risk,scores,(,frs,),F,S,CC,NN,NN,10,0
aveiro,estuarine,system,(,ria,de,",",portugal,),.,$,T,T,NNS,",",NN,6,0
trier,acute,psychosocial,stress,task,(,social,stress,test,),or,F,M,(,JJ,NN,5,0
on,development,of,the,public,health,tario,(,pho,),risk,T,T,NN,NN,IN,2,0
oswestry,),",",and,the,mean,disability,index,improved,from,56,F,S,NN,NN,NN,8,0
shiga,^,^,^,^,^,toxin,family,comprises,toxins,belonging,F,D,NN,NN,NN,5,1
shiga,of,rstxa,and,lysate,of,toxin,.,$,$,$,F,D,IN,NN,NN,5,0
erp,^,experimental,results,suggested,that,and,pdelta,form,a,p24,F,B,IN,CC,NN,3,0
surat,^,^,^,^,",",",",bilaspur,and,betul,formed,T,T,",",",",NN,5,0
ab,),gained,for,cardiac,reh,ilitation,varies,by,subgroup,",",T,T,NN,NN,NN,2,0
canadian,adoption,that,worked,in,the,and,united,states,context,.,F,G,DT,CC,NN,8,0
los angeles,sexual,identity,and,homelessness,among,unified,school,district,middle,school,T,T,IN,JJ,NN,11,0
philadelphia,youth,risk,behavior,survey,in,",",a,random,sample,of,T,T,IN,",",NN,12,0
jeddah,sample,of,youth,residing,in,",",saudi,arabia,(,n,T,T,IN,",",NN,6,0
fukushima,into,korean,peninsula,during,the,dai-ichi,nuclear,accident,.,$,T,T,DT,NN,NN,9,0
beijing,patients,who,were,treated,in,gynecology,and,obstetrics,hospital,from,T,T,IN,NN,NN,7,0
darby,(,ece,),and,madin-,canine,kidney,epithelial,cell,systems,F,B,NN,NN,NN,5,0
stanford,in,hospitalist,telemetry,utilization,.,hospital,",",a,444-bed,",",T,T,.,NN,NN,8,0
ikeja,lagos,state,university,teaching,hospital,",",nigeria,.,consecutive,non-repetitive,T,T,NN,",",NN,5,0
dalton,shi,et,al,.,",",trans,.,",",2015,",",F,R,",",NNS,NN,6,0
salzburg,^,^,^,^,^,consensus,criteria,for,ncse,[1],F,S,NN,NN,NN,8,1
new york,across,the,five,boroughs,of,city,to,characterize,resident,perceptions,T,T,IN,NN,JJ,8,0
boston,three,tertiary,care,centers,in,.,$,$,$,$,T,T,IN,.,NN,6,0
perth,children,with,autism,cohort,in,",",western,australia,.,$,T,T,IN,",",NN,5,0
vancouver,646,female,sex,workers,in,",",canada,(,2010-2012,),T,T,IN,",",NN,9,0
glasgow,782,patients,with,mhi,(,coma,scale,score,13-15,),F,S,(,NN,NN,7,0
glasgow,per,cent,),had,a,coma,scale,score,below,8,F,S,DT,NN,NN,7,0
san francisco,primary,care,clinic,in,the,bay,area,.,patients,were,T,T,DT,NN,JJ,13,0
iron mountain,methylome,for,the,inbred,line,62,(,im62,),.,F,B,NN,CD,NN,13,0
madison,idxatm,;,ge,healthcare,",",",",wi,),was,acquired,T,T,",",",",NN,7,0
beijing,influenza,virus,rna,detection,in,chao-yang,hospital,during,the,2009-2014,T,T,IN,NN,NN,7,0
basin,been,conducted,at,buyuk,menderes,which,is,located,in,southwest,F,W,NNS,WDT,NN,5,0
brisbane,childcare,centres,or,playgroups,in,",",australia,.,many,parents,T,T,IN,",",NN,8,0
ab,alberta,perinatal,health,program,dat,ase,were,linked,to,health,F,D,NN,NN,NN,2,0
concord,composition,system,;,lmi,",",",",california,),were,performed,T,T,",",",",NN,7,0
minab,distribution,of,malaria,vectors,in,county,",",one,of,the,T,T,IN,NN,NN,5,0
beijing,cancer,were,randomly,chosen,in,",",china,.,$,$,T,T,IN,",",NN,7,0
khartoum,from,the,radiation,isotopes,center,(,rick,),compared,to,F,B,NN,(,NN,8,0
fano,gold,ring,gives,rise,to,type,resonances,and,enables,ultrasensitive,F,B,TO,NN,NN,4,0
harare,from,government-administered,secondary,schools,in,",",zimbabwe,.,parental,and,T,T,IN,",",NN,6,0
fort worth,shale,hydraulic,fracturing,region,near,",",texas,.,$,$,T,T,IN,",",NN,10,0
allen,lower,than,those,reported,by,et,al,.,$,$,F,P,IN,NN,NN,5,0
allen,half,of,values,reported,by,et,al,.,$,$,F,P,IN,NN,NN,5,0
ziyang,in,2000,in,huarong,",",",",and,anxiang,counties,of,T,T,",",",",NN,6,0
mulago,attending,the,antenatal,clinic,at,national,referral,hospital,.,upon,T,T,IN,JJ,NN,6,0
mulago,general,antenatal,clinic,at,the,national,referral,hospital,.,of,T,T,DT,JJ,NN,6,0
gaborone,members,each,were,conducted,in,",",the,capital,city,of,T,T,IN,",",NN,8,0
framingham,0,.,026,),",",10-year,risk,score,(,p&lt,F,S,",",JJ,NN,10,0
hasselt,pfo,closure,at,jessa,hospital,between,april,2002,and,february,T,T,NN,IN,NN,7,0
pickering,the,interface,of,an,o/w,emulsion,.,$,$,$,F,B,NN,NN,VBG,9,0
branson,and,then,to,the,pauling-corey-,model,of,the,alpha-helix,.,F,M,NN,NN,NN,7,0
toronto,cancer,centre,",",both,in,",",ontario,",",canada,.,T,T,IN,",",NN,7,0
ontario,four,pediatric,health,centers,in,",",canada,.,.,15,T,T,IN,",",NN,7,0
boston,the,dana-farber,cancer,institute,in,",",ma,.,.,30,T,T,IN,",",NN,6,0
montreal,hospital,cancer,care,center,in,",",quebec,",",canada,.,T,T,IN,",",NN,8,0
chaco,",",fuegian,",",panamanian,",",and,yanomama,populations,.,$,T,T,",",CC,NN,5,0
